# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.82897256136586e-09, Chi^2 = 287.344259679584
#  q       exp_intensity   error model_intensity
0.04171230 3125.09008789   55.90250015 4840.90221118  
0.04194600 3018.20996094   54.93820190 4745.69556106  
0.04218100 2911.23999023   53.95589828 4653.25224237  
0.04241730 2807.94995117   52.99010086 4561.28492153  
0.04265490 2714.57006836   52.10150146 4468.81014279  
0.04289380 2624.02001953   51.22520065 4375.83080590  
0.04313410 2540.11010742   50.39950180 4284.78881409  
0.04337580 2457.09008789   49.56900024 4195.19364531  
0.04361880 2377.52001953   48.75979996 4105.11791798  
0.04386310 2303.11010742   47.99069977 4014.55887029  
0.04410880 2234.16992188   47.26699829 3925.51838075  
0.04435590 2172.73999023   46.61259842 3838.55038979  
0.04460440 2108.82006836   45.92190170 3751.08940977  
0.04485430 2050.36010742   45.28089905 3663.13544069  
0.04510560 1997.70996094   44.69580078 3576.68405030  
0.04535830 1941.95996094   44.06769943 3492.51965488  
0.04561240 1889.18005371   43.46469879 3407.88998175  
0.04586790 1842.31994629   42.92219925 3322.79254942  
0.04612480 1795.56005859   42.37400055 3239.59077762  
0.04638320 1752.79003906   41.86629868 3158.41763675  
0.04664310 1714.82995605   41.41049957 3076.77170853  
0.04690440 1678.93005371   40.97470093 2994.68693067  
0.04716710 1644.32995605   40.55039978 2915.30927100  
0.04743140 1609.43005371   40.11769867 2837.26025028  
0.04769710 1579.35998535   39.74119949 2758.79649067  
0.04796430 1551.55004883   39.38970184 2679.89048957  
0.04823300 1520.31005859   38.99119949 2604.91083078  
0.04850320 1495.72998047   38.67459869 2530.18433330  
0.04877490 1475.63000488   38.41400146 2455.04367308  
0.04904810 1452.09997559   38.10639954 2380.37706013  
0.04932290 1428.96997070   37.80179977 2309.45393420  
0.04959920 1413.69995117   37.59909821 2238.14333953  
0.04987710 1392.39001465   37.31470108 2166.42027812  
0.05015650 1370.18005371   37.01599884 2097.15920658  
0.05043750 1355.48999023   36.81700134 2029.75253681  
0.05072000 1338.31005859   36.58290100 1961.98573329  
0.05100410 1320.41003418   36.33739853 1893.90772184  
0.05128990 1308.76000977   36.17679977 1830.44383431  
0.05157720 1294.50000000   35.97919846 1766.64740227  
0.05186610 1281.83996582   35.80279922 1702.49526341  
0.05215670 1264.78002930   35.56370163 1640.69362975  
0.05244890 1249.06005859   35.34199905 1580.89731570  
0.05274270 1237.21997070   35.17419815 1520.77242534  
0.05303820 1225.03002930   35.00049973 1460.94557602  
0.05333530 1213.47998047   34.83499908 1405.16162560  
0.05363410 1199.68994141   34.63650131 1349.05942135  
0.05393450 1188.94995117   34.48120117 1292.65644975  
0.05423670 1180.22998047   34.35440063 1239.78060465  
0.05454050 1169.75000000   34.20169830 1187.69973282  
0.05484610 1151.16003418   33.92879868 1135.31040296  
0.05515330 1140.67004395   33.77379990 1085.06619031  
0.05546230 1128.64001465   33.59529877 1036.96997959  
0.05577300 1114.14001465   33.37870026 988.60936061   
0.05608540 1103.89001465   33.22480011 941.26950241   
0.05639960 1094.92004395   33.08969879 897.09285774   
0.05671560 1077.89001465   32.83129883 852.66270361   
0.05703330 1063.98999023   32.61880112 808.47463829   
0.05735280 1049.78002930   32.40029907 768.16731961   
0.05767410 1040.36999512   32.25469971 727.63300350   
0.05799720 1024.72998047   32.01150131 686.87121998   
0.05832210 1010.71997070   31.79179955 650.29492350   
0.05864880 997.34802246    31.58079910 613.55508424   
0.05897740 981.09301758    31.32239914 576.60116630   
0.05930780 965.37298584    31.07049942 543.43755749   
0.05964000 949.24200439    30.80979919 510.38778102   
0.05997410 935.98602295    30.59390068 477.14936046   
0.06031010 921.82702637    30.36160088 447.50894545   
0.06064790 902.27099609    30.03779984 418.02750169   
0.06098770 888.42498779    29.80649948 388.37179236   
0.06132940 871.28302002    29.51749992 362.33101492   
0.06167290 856.38299561    29.26399994 336.29478638   
0.06201840 840.85400391    28.99749947 310.30315634   
0.06236590 822.49597168    28.67919922 287.66525531   
0.06271520 802.94201660    28.33620071 264.91013867   
0.06306660 787.27301025    28.05839920 242.67850150   
0.06341990 769.58599854    27.74139977 223.16479557   
0.06377510 751.74200439    27.41790009 203.54615291   
0.06413240 736.95001221    27.14679909 185.01644225   
0.06449170 722.46801758    26.87879944 168.44152399   
0.06485300 703.60797119    26.52560043 151.77414859   
0.06521630 687.35601807    26.21750069 136.82571387   
0.06558160 670.46997070    25.89340019 123.03326255   
0.06594900 652.62799072    25.54660034 109.16119991   
0.06631850 635.80200195    25.21509933 97.63180478    
0.06669000 620.93499756    24.91860008 86.42978276    
0.06706360 602.24902344    24.54080009 75.60106598    
0.06743930 587.02697754    24.22859955 66.85194134    
0.06781710 570.85498047    23.89259911 58.05406201    
0.06819700 557.43499756    23.61009979 50.41532712    
0.06857900 538.20697021    23.19930077 43.86208636    
0.06896320 525.40502930    22.92169952 37.27126850    
0.06934960 510.89199829    22.60289955 32.55922971    
0.06973810 496.14999390    22.27440071 28.02452145    
0.07012870 479.89599609    21.90649986 24.08154425    
0.07052160 466.11099243    21.58959961 21.37705136    
0.07091670 452.41000366    21.26989937 18.65742923    
0.07131390 441.62799072    21.01490021 17.22277591    
0.07171340 425.83801270    20.63579941 16.12669726    
0.07211520 413.38000488    20.33169937 15.43537709    
0.07251920 402.83599854    20.07080078 15.76856861    
0.07292540 391.41500854    19.78420067 16.10357897    
0.07333400 379.20800781    19.47330093 17.42345898    
0.07374480 368.61898804    19.19939995 18.97118208    
0.07415790 357.32299805    18.90299988 20.91721787    
0.07457330 348.22500610    18.66080093 23.50740298    
0.07499110 338.07000732    18.38669968 26.11254737    
0.07541120 328.09600830    18.11339951 29.53115670    
0.07583370 318.00698853    17.83270073 32.98669150    
0.07625850 311.17599487    17.64019966 36.84224274    
0.07668570 302.66598511    17.39730072 40.96611436    
0.07711530 296.56900024    17.22120094 45.23597978    
0.07754730 287.14099121    16.94519997 49.86622709    
0.07798170 279.24499512    16.71059990 54.52226809    
0.07841860 271.87200928    16.48850060 59.48577224    
0.07885790 265.01199341    16.27919960 64.48896042    
0.07929970 259.03100586    16.09440041 69.62265763    
0.07974390 252.04100037    15.87580013 74.83277026    
0.08019060 246.39999390    15.69709969 80.07328184    
0.08063990 240.78500366    15.51720047 85.34569861    
0.08109160 236.71099854    15.38539982 90.62496347    
0.08154590 230.98500061    15.19820023 95.85037693    
0.08200270 225.83000183    15.02760029 101.10329214   
0.08246210 222.21699524    14.90690041 106.16709652   
0.08292400 217.18800354    14.73729992 111.25841265   
0.08338860 214.29200745    14.63869953 116.10690467   
0.08385570 209.28399658    14.46669960 120.92800424   
0.08432550 204.78500366    14.31029987 125.50375518   
0.08479790 201.55400085    14.19699955 129.98308592   
0.08527290 197.74000549    14.06200027 134.22233018   
0.08575060 193.89900208    13.92479992 138.28841074   
0.08623100 190.33500671    13.79619980 142.12502877   
0.08671410 186.88600159    13.67059994 145.70912481   
0.08719990 182.81799316    13.52099991 149.07926580   
0.08768840 179.81199646    13.40939999 152.13158462   
0.08817960 178.50700378    13.36069965 154.98577295   
0.08867360 173.89799500    13.18700027 157.48108097   
0.08917030 170.82299805    13.06989956 159.77717306   
0.08966990 167.60899353    12.94639969 161.67625967   
0.09017220 165.39500427    12.86060047 163.37328092   
0.09067740 160.91000366    12.68500042 164.67067263   
0.09118530 158.25399780    12.57989979 165.75103767   
0.09169620 155.01199341    12.45040035 166.44558366   
0.09220990 151.92599487    12.32579994 166.89182362   
0.09272640 148.69999695    12.19429970 166.97361060   
0.09324590 146.98599243    12.12380028 166.77836369   
0.09376820 145.02699280    12.04269981 166.27162324   
0.09429350 141.46899414    11.89410019 165.44744898   
0.09482180 136.87800598    11.69950008 164.36871244   
0.09535300 134.76600647    11.60890007 162.93061903   
0.09588710 132.66099548    11.51790047 161.30525014   
0.09642430 130.19099426    11.41009998 159.28603864   
0.09696450 126.47699738    11.24619961 157.15264371   
0.09750770 123.34300232    11.10599995 154.58824405   
0.09805390 121.29199982    11.01319981 151.94161725   
0.09860320 118.83000183    10.90089989 148.92565236   
0.09915560 116.65000153    10.80049992 145.79383077   
0.09971110 112.65399933    10.61390018 142.39105872   
0.10027000 109.94599915    10.48550034 138.82537872   
0.10083100 107.58499908    10.37230015 135.09377363   
0.10139600 105.52500153    10.27260017 131.17710422   
0.10196400 102.99400330    10.14859962 127.17169018   
0.10253500 101.13700104    10.05669975 122.96169235   
0.10311000 97.36840057     9.86754036 118.68666102   
0.10368800 95.59169769     9.77709961 114.29087659   
0.10426800 92.86869812     9.63683987 109.84324376   
0.10485200 90.80480194     9.52915955 105.32195233   
0.10544000 88.77649689     9.42212963 100.74882922   
0.10603100 87.35820007     9.34655952 96.14705105    
