# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 3.04299491539138e-09, Chi^2 = 427.738223799481
#  q       exp_intensity   error model_intensity
0.04959920 1413.69995117   37.59909821 2659.86002086  
0.04987710 1392.39001465   37.31470108 2607.49385382  
0.05015650 1370.18005371   37.01599884 2556.01411902  
0.05043750 1355.48999023   36.81700134 2505.16348810  
0.05072000 1338.31005859   36.58290100 2454.04117743  
0.05100410 1320.41003418   36.33739853 2402.65992831  
0.05128990 1308.76000977   36.17679977 2353.09826115  
0.05157720 1294.50000000   35.97919846 2303.27689573  
0.05186610 1281.83996582   35.80279922 2253.17774363  
0.05215670 1264.78002930   35.56370163 2203.97773590  
0.05244890 1249.06005859   35.34199905 2155.53400708  
0.05274270 1237.21997070   35.17419815 2106.82408357  
0.05303820 1225.03002930   35.00049973 2058.12453256  
0.05333530 1213.47998047   34.83499908 2011.13394127  
0.05363410 1199.68994141   34.63650131 1963.87526327  
0.05393450 1188.94995117   34.48120117 1916.36322861  
0.05423670 1180.22998047   34.35440063 1870.37016702  
0.05454050 1169.75000000   34.20169830 1824.63506802  
0.05484610 1151.16003418   33.92879868 1778.62909494  
0.05515330 1140.67004395   33.77379990 1733.55363041  
0.05546230 1128.64001465   33.59529877 1689.39623015  
0.05577300 1114.14001465   33.37870026 1644.99607518  
0.05608540 1103.89001465   33.22480011 1600.99534611  
0.05639960 1094.92004395   33.08969879 1558.45804530  
0.05671560 1077.89001465   32.83129883 1515.67664246  
0.05703330 1063.98999023   32.61880112 1472.91504303  
0.05735280 1049.78002930   32.40029907 1432.05679925  
0.05767410 1040.36999512   32.25469971 1390.96845540  
0.05799720 1024.72998047   32.01150131 1349.64953509  
0.05832210 1010.71997070   31.79179955 1310.47736870  
0.05864880 997.34802246    31.58079910 1271.10950634  
0.05897740 981.09301758    31.32239914 1231.51225212  
0.05930780 965.37298584    31.07049942 1193.93541688  
0.05964000 949.24200439    30.80979919 1156.31871340  
0.05997410 935.98602295    30.59390068 1118.48729836  
0.06031010 921.82702637    30.36160088 1082.65140014  
0.06064790 902.27099609    30.03779984 1046.80884584  
0.06098770 888.42498779    29.80649948 1010.75442527  
0.06132940 871.28302002    29.51749992 976.80232369   
0.06167290 856.38299561    29.26399994 942.75757352   
0.06201840 840.85400391    28.99749947 908.63970970   
0.06236590 822.49597168    28.67919922 876.55574963   
0.06271520 802.94201660    28.33620071 844.30566369   
0.06306660 787.27301025    28.05839920 812.30306057   
0.06341990 769.58599854    27.74139977 782.02403667   
0.06377510 751.74200439    27.41790009 751.58218457   
0.06413240 736.95001221    27.14679909 721.80718534   
0.06449170 722.46801758    26.87879944 693.31250055   
0.06485300 703.60797119    26.52560043 664.65886854   
0.06521630 687.35601807    26.21750069 637.18931823   
0.06558160 670.46997070    25.89340019 610.48712696   
0.06594900 652.62799072    25.54660034 583.63080814   
0.06631850 635.80200195    25.21509933 558.52341771   
0.06669000 620.93499756    24.91860008 533.58606859   
0.06706360 602.24902344    24.54080009 508.87273821   
0.06743930 587.02697754    24.22859955 485.80991094   
0.06781710 570.85498047    23.89259911 462.61856555   
0.06819700 557.43499756    23.61009979 440.37841456   
