# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.71653273087347e-09, Chi^2 = 279.073721159316
#  q       exp_intensity   error model_intensity
0.05157720 1294.50000000   35.97919846 1692.91054067  
0.05186610 1281.83996582   35.80279922 1627.92680368  
0.05215670 1264.78002930   35.56370163 1565.45666590  
0.05244890 1249.06005859   35.34199905 1505.13252290  
0.05274270 1237.21997070   35.17419815 1444.47690322  
0.05303820 1225.03002930   35.00049973 1384.15419197  
0.05333530 1213.47998047   34.83499908 1328.12857855  
0.05363410 1199.68994141   34.63650131 1271.78333258  
0.05393450 1188.94995117   34.48120117 1215.13601631  
0.05423670 1180.22998047   34.35440063 1162.23039250  
0.05454050 1169.75000000   34.20169830 1110.17968467  
0.05484610 1151.16003418   33.92879868 1057.82069746  
0.05515330 1140.67004395   33.77379990 1007.73434595  
0.05546230 1128.64001465   33.59529877 959.92553629   
0.05577300 1114.14001465   33.37870026 911.85389836   
0.05608540 1103.89001465   33.22480011 864.86821734   
0.05639960 1094.92004395   33.08969879 821.21786639   
0.05671560 1077.89001465   32.83129883 777.31702612   
0.05703330 1063.98999023   32.61880112 733.68317548   
0.05735280 1049.78002930   32.40029907 694.12265679   
0.05767410 1040.36999512   32.25469971 654.33934639   
0.05799720 1024.72998047   32.01150131 614.33278302   
0.05832210 1010.71997070   31.79179955 578.70185365   
0.05864880 997.34802246    31.58079910 542.91423269   
0.05897740 981.09301758    31.32239914 506.91808151   
0.05930780 965.37298584    31.07049942 474.86957433   
0.05964000 949.24200439    30.80979919 442.95221486   
0.05997410 935.98602295    30.59390068 410.85267501   
0.06031010 921.82702637    30.36160088 382.48537514   
0.06064790 902.27099609    30.03779984 354.29460726   
0.06098770 888.42498779    29.80649948 325.93720302   
0.06132940 871.28302002    29.51749992 301.31159014   
0.06167290 856.38299561    29.26399994 276.70210880   
0.06201840 840.85400391    28.99749947 252.15021150   
0.06236590 822.49597168    28.67919922 231.04431055   
0.06271520 802.94201660    28.33620071 209.82912646   
0.06306660 787.27301025    28.05839920 189.15874066   
0.06341990 769.58599854    27.74139977 171.26663279   
0.06377510 751.74200439    27.41790009 153.27830847   
0.06413240 736.95001221    27.14679909 136.40304610   
0.06449170 722.46801758    26.87879944 121.51656748   
0.06485300 703.60797119    26.52560043 106.54705006   
0.06521630 687.35601807    26.21750069 93.31556126    
0.06558160 670.46997070    25.89340019 81.25606492    
0.06594900 652.62799072    25.54660034 69.12696004    
0.06631850 635.80200195    25.21509933 59.34467504    
0.06669000 620.93499756    24.91860008 49.89830917    
0.06706360 602.24902344    24.54080009 40.83037787    
0.06743930 587.02697754    24.22859955 33.82841166    
0.06781710 570.85498047    23.89259911 26.78742684    
0.06819700 557.43499756    23.61009979 20.89001349    
0.06857900 538.20697021    23.19930077 16.06409739    
0.06896320 525.40502930    22.92169952 11.21050888    
0.06934960 510.89199829    22.60289955 8.18475243     
0.06973810 496.14999390    22.27440071 5.33901526     
0.07012870 479.89599609    21.90649986 3.06619508     
0.07052160 466.11099243    21.58959961 1.98439484     
0.07091670 452.41000366    21.26989937 0.89654289     
0.07131390 441.62799072    21.01490021 1.02265571     
0.07171340 425.83801270    20.63579941 1.47508309     
0.07211520 413.38000488    20.33169937 2.30846122     
0.07251920 402.83599854    20.07080078 4.09291011     
0.07292540 391.41500854    19.78420067 5.88710002     
0.07333400 379.20800781    19.47330093 8.57076968     
0.07374480 368.61898804    19.19939995 11.46629337    
0.07415790 357.32299805    18.90299988 14.71558832    
0.07457330 348.22500610    18.66080093 18.53166872    
0.07499110 338.07000732    18.38669968 22.36978840    
0.07541120 328.09600830    18.11339951 26.88629517    
0.07583370 318.00698853    17.83270073 31.44290758    
0.07625850 311.17599487    17.64019966 36.31376733    
0.07668570 302.66598511    17.39730072 41.39929259    
0.07711530 296.56900024    17.22120094 46.59477609    
0.07754730 287.14099121    16.94519997 52.04217297    
0.07798170 279.24499512    16.71059990 57.51991563    
0.07841860 271.87200928    16.48850060 63.15932600    
0.07885790 265.01199341    16.27919960 68.83552733    
0.07929970 259.03100586    16.09440041 74.53981935    
0.07974390 252.04100037    15.87580013 80.27296185    
0.08019060 246.39999390    15.69709969 85.97338721    
0.08063990 240.78500366    15.51720047 91.61910773    
0.08109160 236.71099854    15.38539982 97.24312517    
0.08154590 230.98500061    15.19820023 102.69449768   
0.08200270 225.83000183    15.02760029 108.17376126   
