# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 2.77746452349830e-09, Chi^2 = 317.267267151599
#  q       exp_intensity   error model_intensity
0.06934960 510.89199829    22.60289955 616.84608353   
0.06973810 496.14999390    22.27440071 605.36067486   
0.07012870 479.89599609    21.90649986 594.12439527   
0.07052160 466.11099243    21.58959961 583.45966931   
0.07091670 452.41000366    21.26989937 572.73528366   
0.07131390 441.62799072    21.01490021 562.59205351   
0.07171340 425.83801270    20.63579941 552.56062395   
0.07211520 413.38000488    20.33169937 542.67048217   
0.07251920 402.83599854    20.07080078 533.22365350   
0.07292540 391.41500854    19.78420067 523.72525612   
0.07333400 379.20800781    19.47330093 514.63190548   
0.07374480 368.61898804    19.19939995 505.59298969   
0.07415790 357.32299805    18.90299988 496.68798545   
0.07457330 348.22500610    18.66080093 488.03305380   
0.07499110 338.07000732    18.38669968 479.32813671   
0.07541120 328.09600830    18.11339951 470.95036661   
0.07583370 318.00698853    17.83270073 462.53292233   
0.07625850 311.17599487    17.64019966 454.25281968   
0.07668570 302.66598511    17.39730072 446.04462926   
0.07711530 296.56900024    17.22120094 437.85412627   
0.07754730 287.14099121    16.94519997 429.79313135   
0.07798170 279.24499512    16.71059990 421.68723110   
0.07841860 271.87200928    16.48850060 413.70535222   
0.07885790 265.01199341    16.27919960 405.68700023   
0.07929970 259.03100586    16.09440041 397.71830340   
0.07974390 252.04100037    15.87580013 389.75192435   
0.08019060 246.39999390    15.69709969 381.77998405   
0.08063990 240.78500366    15.51720047 373.81480205   
0.08109160 236.71099854    15.38539982 365.82401429   
0.08154590 230.98500061    15.19820023 357.85415198   
0.08200270 225.83000183    15.02760029 349.84074255   
0.08246210 222.21699524    14.90690041 341.84448246   
0.08292400 217.18800354    14.73729992 333.80477853   
0.08338860 214.29200745    14.63869953 325.75592038   
0.08385570 209.28399658    14.46669960 317.67099458   
0.08432550 204.78500366    14.31029987 309.58199234   
0.08479790 201.55400085    14.19699955 301.46715428   
0.08527290 197.74000549    14.06200027 293.34684166   
0.08575060 193.89900208    13.92479992 285.20970752   
0.08623100 190.33500671    13.79619980 277.06316000   
0.08671410 186.88600159    13.67059994 268.91053616   
0.08719990 182.81799316    13.52099991 260.75095488   
0.08768840 179.81199646    13.40939999 252.60158569   
0.08817960 178.50700378    13.36069965 244.45451907   
0.08867360 173.89799500    13.18700027 236.34363755   
0.08917030 170.82299805    13.06989956 228.23781963   
0.08966990 167.60899353    12.94639969 220.18007551   
0.09017220 165.39500427    12.86060047 212.14089269   
0.09067740 160.91000366    12.68500042 204.17521555   
0.09118530 158.25399780    12.57989979 196.24651455   
0.09169620 155.01199341    12.45040035 188.41017229   
0.09220990 151.92599487    12.32579994 180.62784255   
0.09272640 148.69999695    12.19429970 172.94393224   
0.09324590 146.98599243    12.12380028 165.34883126   
0.09376820 145.02699280    12.04269981 157.86196762   
0.09429350 141.46899414    11.89410019 150.50372333   
0.09482180 136.87800598    11.69950008 143.23958492   
0.09535300 134.76600647    11.60890007 136.16029301   
0.09588710 132.66099548    11.51790047 129.15627789   
0.09642430 130.19099426    11.41009998 122.40512799   
0.09696450 126.47699738    11.24619961 115.69466304   
0.09750770 123.34300232    11.10599995 109.31131993   
0.09805390 121.29199982    11.01319981 102.95959388   
0.09860320 118.83000183    10.90089989 96.95112545    
0.09915560 116.65000153    10.80049992 91.02918890    
0.09971110 112.65399933    10.61390018 85.38310369    
0.10027000 109.94599915    10.48550034 79.91744061    
0.10083100 107.58499908    10.37230015 74.66225412    
0.10139600 105.52500153    10.27260017 69.69973594    
0.10196400 102.99400330    10.14859962 64.85255744    
0.10253500 101.13700104    10.05669975 60.40389968    
0.10311000 97.36840057     9.86754036 56.04323968    
0.10368800 95.59169769     9.77709961 52.04379730    
0.10426800 92.86869812     9.63683987 48.24205672    
0.10485200 90.80480194     9.52915955 44.66204225    
0.10544000 88.77649689     9.42212963 41.39783766    
0.10603100 87.35820007     9.34655952 38.25560232    
0.10662500 84.22789764     9.17757988 35.52543677    
0.10722200 82.52349854     9.08423996 32.94096526    
0.10782300 80.76589966     8.98698044 30.61040880    
