# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.03879040 5066.37011719   71.17839813 4260.43882277  
0.03900770 4875.89990234   69.82759857 4018.34221378  
0.03922620 4708.81005859   68.62079620 3815.29476473  
0.03944600 4535.45019531   67.34580231 3611.03913264  
0.03966690 4368.81005859   66.09700012 3405.76225700  
0.03988920 4204.93994141   64.84549713 3199.18026674  
0.04011260 4045.07006836   63.60089874 3011.13694534  
0.04033730 3904.14990234   62.48320007 2841.35269900  
0.04056330 3764.09008789   61.35219955 2670.58889567  
0.04079050 3626.63989258   60.22159958 2498.91872066  
0.04101910 3491.46997070   59.08860016 2329.15662908  
0.04124880 3370.17993164   58.05319977 2191.30866046  
0.04147990 3238.93994141   56.91170120 2052.61785165  
0.04171230 3125.09008789   55.90250015 1913.14903649  
0.04194600 3018.20996094   54.93820190 1772.89774368  
0.04218100 2911.23999023   53.95589828 1656.78603057  
0.04241730 2807.94995117   52.99010086 1547.50720267  
0.04265490 2714.57006836   52.10150146 1437.62539532  
0.04289380 2624.02001953   51.22520065 1327.14405411  
0.04313410 2540.11010742   50.39950180 1232.12875995  
0.04337580 2457.09008789   49.56900024 1149.39555145  
0.04361880 2377.52001953   48.75979996 1066.21858967  
0.04386310 2303.11010742   47.99069977 982.59532430   
0.04410880 2234.16992188   47.26699829 909.71567838   
0.04435590 2172.73999023   46.61259842 850.62414607   
0.04460440 2108.82006836   45.92190170 791.19764594   
0.04485430 2050.36010742   45.28089905 731.43617797   
0.04510560 1997.70996094   44.69580078 680.55531146   
0.04535830 1941.95996094   44.06769943 642.17749543   
0.04561240 1889.18005371   43.46469879 603.58751911   
0.04586790 1842.31994629   42.92219925 564.78425099   
0.04612480 1795.56005859   42.37400055 534.75705561   
0.04638320 1752.79003906   41.86629868 514.12442021   
0.04664310 1714.82995605   41.41049957 493.37161145   
0.04690440 1678.93005371   40.97470093 472.50725563   
0.04716710 1644.32995605   40.55039978 461.20749189   
0.04743140 1609.43005371   40.11769867 455.40887904   
0.04769710 1579.35998535   39.74119949 449.57945336   
0.04796430 1551.55004883   39.38970184 443.71717158   
0.04823300 1520.31005859   38.99119949 448.33784774   
